シート名	管理対象	データ件数	主キー	説明
シナリオマスタ	ADV会話・プロローグ・幕間・戦闘前後ドラマ	465行	シナリオID + ステップ	全会話テキスト、立ち位置、演出指定、敗北時ナビィ指南
セリフマスタ	バトルセリフ・奥義叫び帯	258行	TEXT_ID	戦闘前・勝利・敗北・奥義5系統叫び（小・大・防御・回避・カウンター）
奥義マスタ	聖獣奥義定義・効果量・神話フレーバー	80件	奥義ID	全20種チップの奥義5系統データ
チップマスタ	聖獣コアチップ・解放奥義	20件	チップID	聖獣モチーフ、属性、解放奥義ID、神話解説
ステージマスタ	全7ステージ・解放条件・アリーナ設定	7件	ステージID	ステージ名、解放条件、ガチャ解禁、背景連動フレーバー
エネミーマスタ	全31体エネミー・アセンブル構成・AI設定	31体	エネミーID	装備パーツ構成、AI難易度、性格、キャラ設定
パーツマスタ	ブレード・ウェイト・ソール全パーツ	726件	パーツID	各パーツの性能値、ランク、売買価格
ドロップマスタ	ステージ別クリア報酬・パーツドロップ	-	ステージID	各ステージ勝利時の獲得報酬設定
ステータスマスタ	基礎ステータス計算式・補正値	-	-	戦闘計算・各種パラメータ係数
バトルマスタ	物理挙動・判定ルール・タイムリミット	-	-	回転減衰、ノックバック、リングアウト判定
UI遷移マスタ	画面遷移・ダイアログ制御	-	-	全体画面フロー定義
概要マスタ	ゲーム全体企画書・基本コンセプト	-	-	プロジェクト設計・世界観ルール
