"シナリオID","ステップ","話者名","イラストID","立ち位置","テキスト","演出"
"prologue","1","ナビィ","sn_001","left","マスター、おはようございます！相棒ナビAIの「ナビィ」、起動しました！",""
"prologue","2","ナビィ","sn_001","left","ついに今日からドライブギア大会の予選が始まりますね。準備はバッチリですか？",""
"prologue","3","ナビィ","sn_001","left","このガレージの「カスタマイズ」から、ドライブギアの構成（アセンブル）を調整できますよ。",""
"prologue","4","ナビィ","sn_001","left","準備ができたら「外に出る」からマップへ移動し、予選アリーナ（st001）に挑みましょう！",""
"prologue","5","ナビィ","sn_001","left","バトルで勝ってJP（ジャンクポイント）が溜まったら、ショップでジャンクガチャを回せます！",""
"prologue","6","ナビィ","sn_001","left","夢は大きく世界、そして全宇宙の頂点！最高のドライブギアを作り上げていきましょう！",""
"st001_clear","1","ごろう","e005","right","うわああーっ！俺のドライブギアがスタジアムの外へ弾き飛ばされたー！？","shake"
"st001_clear","2","ごろう","e005","right","くそっ、完敗だ…！お前が予選アリーナ最強だよ！",""
"st001_clear","3","ナビィ","sn_001","left","やったね！予選クリアだよ！これで本戦アリーナ（st002）に行けるね！","flash"
"st001_clear","4","店長","sn_002","right","おう、よくやったな！店の方に新しく「ランク2パーツ」を入荷しておいたぞ。",""
"st001_clear","5","店長","sn_002","right","ショップのガチャから出るようになるから、アセンブルを強化して本戦に挑みな！",""
"st002_clear","1","じゅんこ","e010","right","私のスピードとカウンターの計算が破られるなんて…すごい実力ね！",""
"st002_clear","2","ナビィ","sn_001","left","本戦も全勝クリアだよ！やったー！","flash"
"st002_clear","3","ナビィ","sn_001","left","これで次は強豪ぞろいの決勝アリーナ（st003）への進出だ！",""
"st002_clear","4","店長","sn_002","right","ショップに「ランク3パーツ」が入荷したぜ！さらにパーツを強化して勝ち進めよ！",""
"st003_clear","1","りゅう","e015","right","グハッ！これが…真のブレーダーの魂だというのか…！","shake"
"st003_clear","2","ナビィ","sn_001","left","決勝アリーナ制覇！ついに国内最強の座を手に入れたんだね！","flash"
"st003_clear","3","ナビィ","sn_001","left","次はついに、世界中の強豪が待つ世界アリーナ（st004）に挑戦だよ！",""
"st003_clear","4","店長","sn_002","right","よくやった！ショップの「ランク4パーツ」を解禁したぞ。世界にその名をとどろかせてこい！",""
"st004_clear","1","アーサー","e020","right","Oh... なんて力強いスピンなんだ！ユーのドライブギアには驚かされたよ。",""
"st004_clear","2","ナビィ","sn_001","left","世界大会も制覇しちゃった！キミが世界のトップブレーダーだよ！","flash"
"st004_clear","3","ナビィ","sn_001","left","でも…宇宙アリーナ（st005）から恐ろしい挑戦状が届いているみたい…！？",""
"st004_clear","4","店長","sn_002","right","世界を越えて宇宙とはな！ショップに「ランク5パーツ」を仕入れておいた、頑張りな！",""
"st005_clear","1","ギャラクシー","e025","right","バカな…宇宙の重力加速計算をも超えてくるというのか、地球人のドライブギアが…！","shake"
"st005_clear","2","ナビィ","sn_001","left","宇宙王者も撃破！もうキミの敵は誰もいないんじゃないかな！？","flash"
"st005_clear","3","ナビィ","sn_001","left","いや…ついに伝説の「極限アリーナ（st006）」の扉が開かれたよ！最後の戦いへ行こう！",""
"st005_clear","4","店長","sn_002","right","これが最後だ！ショップに眠る伝説の「ランク6パーツ」をすべて解禁したぞ。頂点を掴んでこい！",""
"st006_clear","1","レジェンド","e030","right","見事だ。お前と、そのドライブギアの絆が限界を超えた。お前こそが真のスピンキングだ。",""
"st006_clear","2","ナビィ","sn_001","left","ついにやったよーーーっ！！伝説のレジェンドを倒して、全宇宙一のスピンキングに輝いたんだ！","flash"
"st006_clear","3","ナビィ","sn_001","left","キミとこのドライブギアの冒険はまだまだ終わらない！最強のアセンブルを求めて、さらに腕を磨こうね！",""
"st006_clear","4","レジェンド","e030","right","さらなる強敵が現れるその日まで、そのドライブギアの輝きを失うでないぞ。",""
"e005_before","1","ごろう","e005","right","おいおい！予選アリーナのボス、このごろう様に挑戦しようなんて100年早いぜ！",""
"e005_before","2","ナビィ","sn_001","left","マスター！ごろうのドライブギアはカウンター重視のアセンブルです。無闇に強攻撃を仕掛けるとカウンターの餌食になりますよ！",""
"e005_before","3","ごろう","e005","right","へっ、AIの言う通りだ！オレのカウンター奥義でそのドライブギアをバラバラの鉄クズにしてやるぜ！いくぞ！",""
"e005_after_win","1","ごろう","e005","right","うわああーっ！オレのカウンターを上回るアタックだと！？","shake"
"e005_after_win","2","ナビィ","sn_001","left","やりました、マスター！ごろうの防御アセンブルを完全に見切りましたね！","flash"
"e005_after_win","3","ごろう","e005","right","くそっ、完敗だ…！だが本戦アリーナ（st002）の奴らはこんなもんじゃないぞ。しっかりパーツを強化して挑むんだな！",""
"e005_after_lose","1","ごろう","e005","right","ガハハハ！見たかオレの完璧なカウンター！お前の攻撃はすべてオレの力に変わるのさ！",""
"e005_after_lose","2","ナビィ","sn_001","left","悔しいですマスター…！相手のタイミングを見極めて、弱攻撃で細かく攻めるか、こちらもカウンターを狙うアセンブルにしてみましょう！",""
"e010_before","1","じゅんこ","e010","right","本戦アリーナへようこそ！私の電撃スピードと絶対回避の前に、あなたの鈍いドライブギアが触れることすらできるかしら？",""
"e010_before","2","ナビィ","sn_001","left","マスター！じゅんこのドライブギアはスピードが極限まで高められており、こちらの攻撃を高確率で回避（EVADE）してきます！",""
"e010_before","3","あなた","","left","かすりさえすれば、一撃で叩き伏せられるアタックを組んできた。勝負だ！",""
"e010_before","4","じゅんこ","e010","right","言うじゃない！その大振りな攻撃、私の残像ですべて避けてあげるわ！",""
"e010_after_win","1","じゅんこ","e010","right","うそ…私のスピードの軌道を完全に先回りして叩き潰すなんて…！","shake"
"e010_after_win","2","ナビィ","sn_001","left","お見事ですマスター！敵の残像スライドを力でねねじ伏せました！","flash"
"e010_after_win","3","じゅんこ","e010","right","負けたわ…あなたの圧倒的なアタック、本物ね。次はさらに過酷な決勝アリーナ（st003）よ。頑張りなさい！",""
"e010_after_lose","1","じゅんこ","e010","right","うふふ、かすりもしないわ！あなたの鈍重なドライブギアじゃ、私の残像を追いかけるのが精一杯ね。",""
"e010_after_lose","2","ナビィ","sn_001","left","完全に見切られていましたね…！もっとスピードやレンジを高めて、こちらも素早く捉えられるアセンブルに再構築しましょう！",""
"e015_before","1","りゅう","e015","right","フッ、よくぞ決勝アリーナまで勝ち上がってきた。だが、ここから先はすべてのステータスが高い次元でまとまった完璧なるバランスの壁だ。",""
"e015_before","2","ナビィ","sn_001","left","マスター、りゅうのドライブギアはアタック、ディフェンス、モビリティ、すべてが完璧な黄金バランスです。弱点がありません！",""
"e015_before","3","あなた","","left","弱点がないなら、こちらの最強の一撃でバランスを崩すまでだ。いくぞ！",""
"e015_before","4","りゅう","e015","right","いい気迫だ。ドライブギアの頂点を決める決勝戦…いざ尋常に勝負！",""
"e015_after_win","1","りゅう","e015","right","グハッ！これが…これが真のブレーダーの魂、限界を超えたアセンブルの力か…！","shake"
"e015_after_win","2","ナビィ","sn_001","left","やりました！決勝アリーナ制覇です！ついに国内最強の王座を掴み取りましたね！","flash"
"e015_after_win","3","りゅう","e015","right","見事だった。だが世界アリーナ（st004）にはさらなる化け物たちが待っている。日本の最強として、世界を驚かせてこい！",""
"e015_after_lose","1","りゅう","e015","right","完璧なバランスの前に散るが良い。アセンブルの調和こそが勝利を呼び込むのだ。",""
"e015_after_lose","2","ナビィ","sn_001","left","流石は国内決勝の王者、手強いです…！こちらもパーツのランクを高め、全体のステータスの調和を見直して再挑戦です！",""
"e020_before","1","アーサー","e020","right","Oh! ユーが極東の最強ブレーダーね！世界大会のステージで会えてデリシャスだよ！",""
"e020_before","2","ナビィ","sn_001","left","マスター！アーサーのドライブギアは圧倒的な破壊力を誇るパワーアタックアセンブルです。まともにヒットするとライフを一撃で削られます！",""
"e020_before","3","アーサー","e020","right","イエス！マイ・ドライブギアのギガントアタックは世界を粉砕する！ユーのソウルごと弾き飛ばしてあげるよ！",""
"e020_after_win","1","アーサー","e020","right","Oh my god! ミーのギガントアタックを受け止めて跳ね返すなんて、信じられないパワーだよ！","shake"
"e020_after_win","2","ナビィ","sn_001","left","世界王者アーサーを撃破！マスター、キミのドライブギアが世界一の座に輝きました！","flash"
"e020_after_win","3","アーサー","e020","right","ワンダフル！ユーの勝利だ！でも気をつけて…地球の外、宇宙アリーナ（st005）から不気味なシグナルが届いているよ…！",""
"e020_after_lose","1","アーサー","e020","right","ハッハッハ！ミーのパワーアタックに耐えられなかったね！これが世界の壁さ！",""
"e020_after_lose","2","ナビィ","sn_001","left","プライドが傷つくような猛攻でしたね…！防御（ガード）を固めてダメージを軽減するか、回避残像で避けるアセンブルが必要かもしれません！",""
"e025_before","1","ギャラクシー","e025","right","フッ、地球の王者が宇宙まで来たか。だが宇宙空間の重力制御シミュレーションによる絶対軌道の前には、ただの塵に過ぎん。",""
"e025_before","2","ナビィ","sn_001","left","マスター！ギャラクシーは宇宙の物理データを計算した超次元バランスアセンブルです。特にこちらの行動を先読みした超精度カウンターを展開してきます！",""
"e025_before","3","ギャラクシー","e025","right","すべては計算通り。君たちのドライブギアの回転は、このブラックホールのような軌道に飲み込まれる運命だ。消え去るがいい！",""
"e025_after_win","1","ギャラクシー","e025","right","ば、馬鹿な…！計算上、あり得ない特異点のアタックだと！？地球人の絆の回転力など、私のシミュレーションには…！","shake"
"e025_after_win","2","ナビィ","sn_001","left","宇宙の物理法則すらマスターの魂の回転が上回りました！宇宙王者撃破です！","flash"
"e025_after_win","3","ギャラクシー","e025","right","完敗だ…私たちの冷徹なデータを超えた、熱い回転の力…見事だ。だが、伝説の「極限アリーナ」の扉が開かれた。神話の戦いへ向かうが良い…！",""
"e025_after_lose","1","ギャラクシー","e025","right","無駄な足掻きだ。君たちの拙いドライブギアの回転は、私の宇宙方程式によって完全に予測され、消滅した。",""
"e025_after_lose","2","ナビィ","sn_001","left","計算され尽くしたカウンターにやられてしまいました…！奥義コストを溜めて一気に超ダメージ奥義をぶつけ、方程式を狂わせましょう！",""
"e030_before","1","レジェンド","e030","right","よくぞここまで辿り着いた。私はこの極限アリーナに佇み、最強のブレーダーを待ち続ける者。君とドライブギアの『極限の絆』、私に見せてみよ。",""
"e030_before","2","ナビィ","sn_001","left","マスター…！レジェンド of ドライブギアからは、これまでの全てのライバルを過去にする、神話級のオーラを感じます。私たちの全力をぶつけましょう！",""
"e030_before","3","あなた","","left","ナビィ、ドライブギア…！みんなの力を一つにして、伝説を超えるアセンブルで行くぞ！",""
"e030_before","4","レジェンド","e030","right","良い魂だ。すべてを出し尽くし、極限の回転で私を越えてみせよ！いざ…勝負！",""
"e030_after_win","1","レジェンド","e030","right","素晴らしい…！私の極限の回転を真っ向から打ち破る、光り輝くアセンブル！見事だ、新たな王よ！","shake"
"e030_after_win","2","ナビィ","sn_001","left","やりましたあああーーーっ！！！伝説のレジェンドを撃破し、全宇宙・神話の頂点に立つ『スピンキング』の誕生です！！！","flash"
"e030_after_win","3","レジェンド","e030","right","お前とドライブギアの絆は、全宇宙の伝説として永遠に語り継がれるだろう。新たな強敵が現れるその日まで、その輝きを失うでないぞ。",""
"e030_after_lose","1","レジェンド","e030","right","まだ極限には届かぬか。だが、お前とドライブギアの回転には無限の可能性を感じる。アセンブルを研ぎ澄まし、再び私を越えに来るが良い。",""
"e030_after_lose","2","ナビィ","sn_001","left","強すぎます…！でも諦めないでマスター！ショップに眠る伝説の「ランク6パーツ」を組み合わせ、究極のアセンブルでリベンジしましょう！",""
"prologue_intro","1","ナビィ","sn_001","left","マスター、起動完了しました！相棒ナビAIの「ナビィ」です！",""
"prologue_intro","2","ナビィ","sn_001","left","ついにドライブギア王座を決定する闘いが始まりますね！最高のチームを結成し、頂点を目指しましょう！",""
"prologue_intro","3","あなた","","left","ああ、ついにこの日が来たな。相棒、よろしく頼むぜ！",""
"prologue_naby_talk","1","ナビィ","sn_001","left","あれれ？マスター、大変です！マスターの「スロット1」のドライブギアがまだ組み立てられていませんよ！",""
"prologue_naby_talk","2","ナビィ","sn_001","left","このままではストリートへ出てもバトルができません！まずはガレージで最初のドライブギアを組み立てましょう！",""
"prologue_naby_talk","3","ナビィ","sn_001","left","初期パーツは用意してあります。「チップ」「ブレード」「ウェイト」「ソール」の4箇所をアセンブルしてくださいね！",""
"tutorial_success","1","ナビィ","sn_001","left","素晴らしいアセンブルです！完璧な初期アセンブルドライブギアが完成しましたね！","flash"
"tutorial_success","2","ナビィ","sn_001","left","これでいつでもバトルへ出撃できますよ！",""
"tutorial_success","3","ナビィ","sn_001","left","まずはここ、地域の街での戦いである『ストリート・アリーナ（ステージ1）』に向かい、腕試しをしましょう！",""
"tutorial_success","4","あなた","","left","よし！この新生ドライブギアで、いざバトルだ！",""
