シナリオID	ステップ	話者名	イラストID	立ち位置	テキスト	演出
prologue	1	ナビィ	sn_001	left	マスター、おはようございます！相棒ナビAIの「ナビィ」、起動しました！	
prologue	2	ナビィ	sn_001	left	ついに今日からスピンギア大会の予選が始まりますね。準備はバッチリですか？	
prologue	3	ナビィ	sn_001	left	このガレージの「カスタマイズ」から、ギアの構成（アセンブル）を調整できますよ。	
prologue	4	ナビィ	sn_001	left	準備ができたら「外に出る」からマップへ移動し、予選アリーナ（st001）に挑みましょう！	
prologue	5	ナビィ	sn_001	left	バトルで勝ってJP（ジャンクポイント）が溜まったら、ショップでジャンクガチャを回せます！	
prologue	6	ナビィ	sn_001	left	夢は大きく世界、そして全宇宙の頂点！最高のギアを作り上げていきましょう！	
st001_clear	1	ごろう	e005	right	うわああーっ！俺のギアがスタジアムの外へ弾き飛ばされたー！？	shake
st001_clear	2	ごろう	e005	right	くそっ、完敗だ…！お前が予選アリーナ最強だよ！	
st001_clear	3	ナビィ	sn_001	left	やったね！予選クリアだよ！これで本戦アリーナ（st002）に行けるね！	flash
st001_clear	4	店長	sn_002	right	おう、よくやったな！店の方に新しく「ランク2パーツ」を入荷しておいたぞ。	
st001_clear	5	店長	sn_002	right	ショップのガチャから出るようになるから、アセンブルを強化して本戦に挑みな！	
st002_clear	1	じゅんこ	e010	right	私のスピードとカウンターの計算が破られるなんて…すごい実力ね！	
st002_clear	2	ナビィ	sn_001	left	本戦も全勝クリアだよ！やったー！	flash
st002_clear	3	ナビィ	sn_001	left	これで次は強豪ぞろいの決勝アリーナ（st003）への進出だ！	
st002_clear	4	店長	sn_002	right	ショップに「ランク3パーツ」が入荷したぜ！さらにパーツを強化して勝ち進めよ！	
st003_clear	1	りゅう	e015	right	グハッ！これが…真のブレーダーの魂だというのか…！	shake
st003_clear	2	ナビィ	sn_001	left	決勝アリーナ制覇！ついに国内最強の座を手に入れたんだね！	flash
st003_clear	3	ナビィ	sn_001	left	次はついに、世界中の強豪が待つ世界アリーナ（st004）に挑戦だよ！	
st003_clear	4	店長	sn_002	right	よくやった！ショップの「ランク4パーツ」を解禁したぞ。世界にその名をとどろかせてこい！	
st004_clear	1	アーサー	e020	right	Oh... なんて力強いスピンなんだ！ユーのギアには驚かされたよ。	
st004_clear	2	ナビィ	sn_001	left	世界大会も制覇しちゃった！キミが世界のトップブレーダーだよ！	flash
st004_clear	3	ナビィ	sn_001	left	でも…宇宙アリーナ（st005）から恐ろしい挑戦状が届いているみたい…！？	
st004_clear	4	店長	sn_002	right	世界を越えて宇宙とはな！ショップに「ランク5パーツ」を仕入れておいた、頑張りな！	
st005_clear	1	ギャラクシー	e025	right	バカな…宇宙の重力加速計算をも超えてくるというのか、地球人のギアが…！	shake
st005_clear	2	ナビィ	sn_001	left	宇宙王者も撃破！もうキミの敵は誰もいないんじゃないかな！？	flash
st005_clear	3	ナビィ	sn_001	left	いや…ついに伝説の「極限アリーナ（st006）」の扉が開かれたよ！最後の戦いへ行こう！	
st005_clear	4	店長	sn_002	right	これが最後だ！ショップに眠る伝説の「ランク6パーツ」をすべて解禁したぞ。頂点を掴んでこい！	
st006_clear	1	レジェンド	e030	right	見事だ。お前と、そのギアの絆が限界を超えた。お前こそが真のスピンキングだ。	
st006_clear	2	ナビィ	sn_001	left	ついにやったよーーーっ！！伝説のレジェンドを倒して、全宇宙一のスピンキングに輝いたんだ！	flash
st006_clear	3	ナビィ	sn_001	left	キミとこのギアの冒険はまだまだ終わらない！最強のアセンブルを求めて、さらに腕を磨こうね！	
st006_clear	4	レジェンド	e030	right	さらなる強敵が現れるその日まで、そのギアの輝きを失うでないぞ。	
