"TEXT_ID","キャラクター名","テキスト内容"
"player_c001_ougi_1","主人公","行け相棒！ノヴァ・インパルス！"
"player_c001_ougi_2","主人公","限界をブチ破れ！ゾディアック・レイドォッ！！"
"player_c001_ougi_3","主人公","耐えろ相棒！スターダスト・シールド！"
"player_c001_ougi_4","主人公","捉えられるか！星の瞬きを駆け抜けろ！"
"player_c001_ougi_5","主人公","今だ、そこだァッ！カウンター、ノヴァ・インパルス！"
"player_ougi_1","主人公","行け相棒！{奥義名}！"
"player_ougi_2","主人公","限界をブチ破れ！{奥義名}ッ！！"
"player_ougi_3","主人公","耐えろ相棒！{奥義名}！"
"player_ougi_4","主人公","捉えられるか！{奥義名}！"
"player_ougi_5","主人公","今だ、そこだァッ！カウンター、{奥義名}！"
"e001_before","イチカ","私のギア、結構速いよ！負けないからね、ファースト・シュート！"
"e001_win","イチカ","やったぁ！私の勝ち！次はもっとアセンブルを鍛えておいでよ！"
"e001_lose","イチカ","うわあ、負けちゃった……！でも君のアセンブル、すごくワクワクしたよ！"
"e001_ougi_1","イチカ","舞い上がれペガサス！ミラージュ・エッジ！"
"e001_ougi_2","イチカ","星々の光よ、すべてを貫け！スターライト・ストリーム！！"
"e001_ougi_3","イチカ","ペガサスの風よ、私を守って！"
"e001_ougi_4","イチカ","この速度を捉えられるかな？エアリアル・ステップ！"
"e001_ougi_5","イチカ","隙だらけだよ！カウンター、ミラージュ・エッジ！"
"e002_before","ハルト","へへっ、手加減なしで行くぜ！オレたちの熱いドライブ、受けてみろ！"
"e002_win","ハルト","よしっ！オレとワイバーンの完全勝利だな！"
"e002_lose","ハルト","くぅ〜っ、負けたぁ！でもすっげぇ楽しかったぜ！次は絶対勝つからな！"
"e002_ougi_1","ハルト","疾風の如く急降下だ！エアロ・ダイブ！"
"e002_ougi_2","ハルト","大嵐を巻き起こせワイバーン！エアロ・ストリームッ！！"
"e002_ougi_3","ハルト","受けて立つぜ！竜の装甲で耐え凌げ！"
"e002_ougi_4","ハルト","捉えられるかよ！エアロ・グライド！"
