TEXT_ID	キャラクター名	テキスト内容
e001_before	イチカ	私のギア、結構速いよ！負けないからね、ファースト・シュート！
e001_win	イチカ	やったぁ！私の勝ち！次はもっとアセンブルを鍛えておいでよ！
e001_lose	イチカ	うわあ、負けちゃった……君のアセンブル、すごく上手だね！
e002_before	ハルト	オレの熱血アタックギアの前にひれ伏しな！いくぞオラァ！
e002_win	ハルト	ガハハハ！見たかオレの火力！アタックこそが最高だぜ！
e002_lose	ハルト	くっそー、弾き飛ばされた……オレの攻撃を受け流すなんてやるな！
e003_before	タイガ	ふふっ、オレのディフェンスは絶対に崩せないぜ！覚悟しな！
e003_win	タイガ	オレの勝ちだな！お前の攻撃は全てガードさせてもらったぜ。
e003_lose	タイガ	まさかオレの防壁が破られるなんて……お前のアタック力、本物だ！
e004_before	ケンジ	バランスの取れたギアこそが最強さ。手加減なしで行くよ。
e004_win	ケンジ	よし！これがバランスギアの安定感さ。どんな戦術にも対応できる。
e004_lose	ケンジ	負けたか……どこか尖ったアセンブルに組み替えるべきだったか。
e005_before	カイト	へへっ！このわんぱく公園で一番強いのはこの俺様だぜ！かかってきな！
e005_win	カイト	へへーんだ！俺のガードは破れなかったろ！もっと鍛えてからおいで！
e005_lose	カイト	うわあ、負けたー！俺のガードを正面から打ち破るなんてすごすぎるよ！
e006_before	タクマ	俺の突進スピードについてこれるか！？一瞬で決めるぜ！
e006_win	タクマ	フッ、スピードが違いすぎたな！もっと脚周りを磨いてきな！
e006_lose	タクマ	バカな……俺の突進が見切られて叩き落されるなんて……！
e007_before	シュン	僕の計算通りのセッティングに隙はない。勝率は98%だ。
e007_win	シュン	計算通りだね。君のギアの弱点を正確に突かせてもらったよ。
e007_lose	シュン	計算外のパワーだと……！？データを超える勢いが存在するのか。
e008_before	ジュリ	ウチの電撃ギア、結構すごいから！試してみなよ！
e008_win	ジュリ	キャハッ！ウチの電撃ラッシュでイチコロじゃん！バイバーイ！
e008_lose	ジュリ	嘘でしょ！？ウチの電撃を真っ向から押し切るなんてマジあり得ない！
e009_before	コトネ	私の静かな防壁……君の荒々しい回転で崩せるかしら？
e009_win	コトネ	静寂の勝ちね。無駄なアタックで自滅してしまったわ。
e009_lose	コトネ	見事な突き抜けね……君の力強い回転、少し羨ましいわ。
e010_before	レイナ	本戦アリーナへようこそ！あなたの力任せのアタックじゃ、私のスピードと回避についてくることすら不可能よ！
e010_win	レイナ	ふふん、私の計算されたスピードの前に沈んだわね。まだまだ青いわ！
e010_lose	レイナ	そんな……私の完璧な回避ステップを捉えるなんて……！
e011_before	テッペイ	へっ、威勢がいいな。だが俺の連撃の前に立っていられるかな！
e011_win	テッペイ	ハッ！口ほどにもない。もっと骨のある奴を連れてきな！
e011_lose	テッペイ	グッ……この俺が、押し負けるだと……！？
e012_before	カレン	私の華麗な旋律に耐えられるかしら？いくわよ！
e012_win	カレン	うふふ、私の勝ちね。もっと美しく回らなくっちゃダメよ。
e012_lose	カレン	きゃあっ！なんて激しいアタック……完敗だわ。
e013_before	シン	闇の重力……貴様に耐えられるか。沈め。
e013_win	シン	フッ、所詮はその程度の力。闇に平伏すがいい。
e013_lose	シン	何……！？この強い光の回転は……ぐああっ！
e014_before	トウヤ	冷徹なる勝利を我に。無駄な抵抗はやめろ。
e014_win	トウヤ	当然の結果だ。貴様のアセンブルには隙が多すぎる。
e014_lose	トウヤ	バカな……我が計算し尽くしたアセンブルが……！
e015_before	レン	フフッ、エリア予選の王者たる俺の前にひれ伏せ！
e015_win	レン	ハーッハッハ！俺の絶対勝利だ！格の違いを思い知れ！
e015_lose	レン	くっ、馬鹿な……この俺が予選で敗れるはずが……！
e016_before	メイ	私の可愛いギアに勝てると思ってるの？容赦しないわよ！
e016_win	メイ	えへへ、私の勝ち！もっと練習して出直してきてね！
e016_lose	メイ	えーん、負けちゃった……でも次は絶対負けないんだから！
e017_before	カズマ	俺の剛腕アタックを受け止めてみな！勝負だ！
e017_win	カズマ	ガハハ！俺のパワースマッシュに耐えられる奴はいねぇ！
e017_lose	カズマ	ぐわぁっ！俺の渾身の一撃を真っ向から破るなんて……！
e018_before	シン	再び相まみえたな。今度こそ貴様を完全に砕く！
