パーツID	パーツ名	種別	画像ID	ランク	属性	ライフ	アタック	ディフェンス	スピード	レンジ	モビリティ	フレーバー	ステ確認	メモ
b101_f	ベーシックブレード	1	b001_f	1	火	0	71	40	0	66	32	工業規格パーツ	209	ランク1
b101_a	ベーシックブレード	1	b001_a	1	風	0	71	40	0	66	32	工業規格パーツ	209	ランク1
b101_e	ベーシックブレード	1	b001_e	1	土	0	71	40	0	66	32	工業規格パーツ	209	ランク1
b101_w	ベーシックブレード	1	b001_w	1	水	0	71	40	0	66	32	工業規格パーツ	209	ランク1
b101_n	ベーシックブレード	1	b001_n	1	無	0	71	40	0	66	32	工業規格パーツ	209	ランク1
b102_f	フラットブレード	1	b002_f	1	火	0	85	36	0	80	41	工業規格パーツ	242	ランク1
b102_a	フラットブレード	1	b002_a	1	風	0	85	36	0	80	41	工業規格パーツ	242	ランク1
b102_e	フラットブレード	1	b002_e	1	土	0	85	36	0	80	41	工業規格パーツ	242	ランク1
b102_w	フラットブレード	1	b002_w	1	水	0	85	36	0	80	41	工業規格パーツ	242	ランク1
b102_n	フラットブレード	1	b002_n	1	無	0	85	36	0	80	41	工業規格パーツ	242	ランク1
b103_f	ストライクブレード	1	b003_f	1	火	0	96	31	0	52	30	工業規格パーツ	209	ランク1
b103_a	ストライクブレード	1	b003_a	1	風	0	96	31	0	52	30	工業規格パーツ	209	ランク1
b103_e	ストライクブレード	1	b003_e	1	土	0	96	31	0	52	30	工業規格パーツ	209	ランク1
b103_w	ストライクブレード	1	b003_w	1	水	0	96	31	0	52	30	工業規格パーツ	209	ランク1
b103_n	ストライクブレード	1	b003_n	1	無	0	96	31	0	52	30	工業規格パーツ	209	ランク1
b104_f	ラッシュブレード	1	b004_f	1	火	0	111	27	0	67	36	工業規格パーツ	241	ランク1
b104_a	ラッシュブレード	1	b004_a	1	風	0	111	27	0	67	36	工業規格パーツ	241	ランク1
b104_e	ラッシュブレード	1	b004_e	1	土	0	111	27	0	67	36	工業規格パーツ	241	ランク1
b104_w	ラッシュブレード	1	b004_w	1	水	0	111	27	0	67	36	工業規格パーツ	241	ランク1
b104_n	ラッシュブレード	1	b004_n	1	無	0	111	27	0	67	36	工業規格パーツ	241	ランク1
b105_f	クロスブレード	1	b005_f	1	火	0	52	30	0	97	31	工業規格パーツ	210	ランク1
b105_a	クロスブレード	1	b005_a	1	風	0	52	30	0	97	31	工業規格パーツ	210	ランク1
b105_e	クロスブレード	1	b005_e	1	土	0	52	30	0	97	31	工業規格パーツ	210	ランク1
b105_w	クロスブレード	1	b005_w	1	水	0	52	30	0	97	31	工業規格パーツ	210	ランク1
b105_n	クロスブレード	1	b005_n	1	無	0	52	30	0	97	31	工業規格パーツ	210	ランク1
b106_f	ウイングブレード	1	b006_f	1	火	0	64	27	0	114	37	工業規格パーツ	242	ランク1
b106_a	ウイングブレード	1	b006_a	1	風	0	64	27	0	114	37	工業規格パーツ	242	ランク1
b106_e	ウイングブレード	1	b006_e	1	土	0	64	27	0	114	37	工業規格パーツ	242	ランク1
b106_w	ウイングブレード	1	b006_w	1	水	0	64	27	0	114	37	工業規格パーツ	242	ランク1
b106_n	ウイングブレード	1	b006_n	1	無	0	64	27	0	114	37	工業規格パーツ	242	ランク1
b107_f	シールドブレード	1	b007_f	1	火	0	79	46	0	77	33	工業規格パーツ	235	ランク1
b107_a	シールドブレード	1	b007_a	1	風	0	79	46	0	77	33	工業規格パーツ	235	ランク1
b107_e	シールドブレード	1	b007_e	1	土	0	79	46	0	77	33	工業規格パーツ	235	ランク1
b107_w	シールドブレード	1	b007_w	1	水	0	79	46	0	77	33	工業規格パーツ	235	ランク1
b107_n	シールドブレード	1	b007_n	1	無	0	79	46	0	77	33	工業規格パーツ	235	ランク1
b108_f	スピードブレード	1	b008_f	1	火	0	75	29	0	84	47	工業規格パーツ	235	ランク1
b108_a	スピードブレード	1	b008_a	1	風	0	75	29	0	84	47	工業規格パーツ	235	ランク1
b108_e	スピードブレード	1	b008_e	1	土	0	75	29	0	84	47	工業規格パーツ	235	ランク1
b108_w	スピードブレード	1	b008_w	1	水	0	75	29	0	84	47	工業規格パーツ	235	ランク1
b108_n	スピードブレード	1	b008_n	1	無	0	75	29	0	84	47	工業規格パーツ	235	ランク1
w101_f	ベーシックウェイト	2	w001_f	1	火	70	41	68	30	0	0	工業規格パーツ	209	ランク1
w101_a	ベーシックウェイト	2	w001_a	1	風	70	41	68	30	0	0	工業規格パーツ	209	ランク1
w101_e	ベーシックウェイト	2	w001_e	1	土	70	41	68	30	0	0	工業規格パーツ	209	ランク1
w101_w	ベーシックウェイト	2	w001_w	1	水	70	41	68	30	0	0	工業規格パーツ	209	ランク1
w101_n	ベーシックウェイト	2	w001_n	1	無	70	41	68	30	0	0	工業規格パーツ	209	ランク1
w102_f	フラットウェイト	2	w002_f	1	火	88	36	79	39	0	0	工業規格パーツ	242	ランク1
w102_a	フラットウェイト	2	w002_a	1	風	88	36	79	39	0	0	工業規格パーツ	242	ランク1
w102_e	フラットウェイト	2	w002_e	1	土	88	36	79	39	0	0	工業規格パーツ	242	ランク1
w102_w	フラットウェイト	2	w002_w	1	水	88	36	79	39	0	0	工業規格パーツ	242	ランク1
w102_n	フラットウェイト	2	w002_n	1	無	88	36	79	39	0	0	工業規格パーツ	242	ランク1
w103_f	コアウェイト	2	w003_f	1	火	94	31	54	30	0	0	工業規格パーツ	209	ランク1
w103_a	コアウェイト	2	w003_a	1	風	94	31	54	30	0	0	工業規格パーツ	209	ランク1
w103_e	コアウェイト	2	w003_e	1	土	94	31	54	30	0	0	工業規格パーツ	209	ランク1
w103_w	コアウェイト	2	w003_w	1	水	94	31	54	30	0	0	工業規格パーツ	209	ランク1
w103_n	コアウェイト	2	w003_n	1	無	94	31	54	30	0	0	工業規格パーツ	209	ランク1
w104_f	ブロックウェイト	2	w004_f	1	火	113	27	66	35	0	0	工業規格パーツ	241	ランク1
w104_a	ブロックウェイト	2	w004_a	1	風	113	27	66	35	0	0	工業規格パーツ	241	ランク1
w104_e	ブロックウェイト	2	w004_e	1	土	113	27	66	35	0	0	工業規格パーツ	241	ランク1
w104_w	ブロックウェイト	2	w004_w	1	水	113	27	66	35	0	0	工業規格パーツ	241	ランク1
w104_n	ブロックウェイト	2	w004_n	1	無	113	27	66	35	0	0	工業規格パーツ	241	ランク1
w105_f	リングウェイト	2	w005_f	1	火	56	34	93	27	0	0	工業規格パーツ	210	ランク1
w105_a	リングウェイト	2	w005_a	1	風	56	34	93	27	0	0	工業規格パーツ	210	ランク1
w105_e	リングウェイト	2	w005_e	1	土	56	34	93	27	0	0	工業規格パーツ	210	ランク1
w105_w	リングウェイト	2	w005_w	1	水	56	34	93	27	0	0	工業規格パーツ	210	ランク1
w105_n	リングウェイト	2	w005_n	1	無	56	34	93	27	0	0	工業規格パーツ	210	ランク1
w106_f	プレートウェイト	2	w006_f	1	火	68	30	110	34	0	0	工業規格パーツ	242	ランク1
w106_a	プレートウェイト	2	w006_a	1	風	68	30	110	34	0	0	工業規格パーツ	242	ランク1
w106_e	プレートウェイト	2	w006_e	1	土	68	30	110	34	0	0	工業規格パーツ	242	ランク1
w106_w	プレートウェイト	2	w006_w	1	水	68	30	110	34	0	0	工業規格パーツ	242	ランク1
w106_n	プレートウェイト	2	w006_n	1	無	68	30	110	34	0	0	工業規格パーツ	242	ランク1
w107_f	パワーウェイト	2	w007_f	1	火	79	48	76	32	0	0	工業規格パーツ	235	ランク1
w107_a	パワーウェイト	2	w007_a	1	風	79	48	76	32	0	0	工業規格パーツ	235	ランク1
w107_e	パワーウェイト	2	w007_e	1	土	79	48	76	32	0	0	工業規格パーツ	235	ランク1
w107_w	パワーウェイト	2	w007_w	1	水	79	48	76	32	0	0	工業規格パーツ	235	ランク1
w107_n	パワーウェイト	2	w007_n	1	無	79	48	76	32	0	0	工業規格パーツ	235	ランク1
w108_f	アクセルウェイト	2	w008_f	1	火	71	33	82	49	0	0	工業規格パーツ	235	ランク1
w108_a	アクセルウェイト	2	w008_a	1	風	71	33	82	49	0	0	工業規格パーツ	235	ランク1
w108_e	アクセルウェイト	2	w008_e	1	土	71	33	82	49	0	0	工業規格パーツ	235	ランク1
w108_w	アクセルウェイト	2	w008_w	1	水	71	33	82	49	0	0	工業規格パーツ	235	ランク1
w108_n	アクセルウェイト	2	w008_n	1	無	71	33	82	49	0	0	工業規格パーツ	235	ランク1
